GPA	Jonathan Parks	Calgary-Buffalo	Born and raised in Treaty 27 Territory in Ontario, Jonathan (he/him) is a bible college graduate and former Toronto Church Pastor. He is now actively involved in the secular social and environmental justice movement and has been working in the non-profit sector for the past 3 years. Jonathan’s interest in green politics stems from his concern for preserving the global environment for future generations, advancing 2SLGBTQ+ rights, fixing Alberta’s publicly funded education system, and improving healthcare accessibility for all without restrictions or discrimination. Jonathan is passionate about eliminating poverty through implementing a Guaranteed Livable Income (GLI) and Housing First initiatives. He believes the Alberta Greens offers the positive, unmatched, and meaningful change so many Albertans desperately need today. In his spare time, Jonathan enjoys art, horror movies, and an active lifestyle which includes, jogging, hiking and camping.
GPA	Jordan Wilkie	Edmonton-Rutherford	Jordan is a proud father, husband and Albertan currently serving in his fifteenth year as a first responder. Jordan volunteered for five years with the Canadian Red Cross and has been on the frontlines helping Albertans through some of the largest emergencies in Alberta's history. Jordan wakes up ready to help in his community and serve the people of Edmonton-Rutherford from their local fire station. Holding a Degree in Philosophy and a Masters in Disaster Emergency Management, Jordan has a history of collaborating with municipalities and community leaders to adapt policy and infrastructure to growing supply chain issues and climate disruptions. As the Leader of the Green Party of Alberta, Jordan is focused on the need for better representation of voters and a focus on proactive solutions to the systemic issues Albertans face each and every day.
GPA	Aman Sandhu	Calgary-Cross	Amanpreet Sandhu has been a Calgary resident since 2014, blessed with a supporting wife and wonderful daughter. He worked as a Chemical Engineer at a paper manufacturing plant in India, before becoming a student at SAIT in 2015, gaining knowledge about boiler operations and maintenance. Aman has a Power Engineering License issued by the Alberta Boilers Safety Association (ABSA) Aman is running to be your MLA so he can represent your concerns and voices in the Legislative Assembly. He enjoys attending a variety of community functions to understand and celebrate different cultures and promote unity in the community. Aman also volunteers with non-profit organizations to give back time and passion to the communities that helped him become successful. He is running on a platform to address the concerns of the healthcare system, affordable education, climate change, and much more.
GPA	Lane Robson	Calgary-Currie	Dr. Lane Robson is an accomplished author, physician, and pediatrician with a long history serving Albertans and others abroad. He graduated in the first medical class at the University of Calgary, and after post-graduate studies at Sick Kids in Toronto he returned home to set up the Division of Pediatric Nephrology in Calgary. Dr. Robson started the pediatric dialysis program in Calgary. Lane worked abroad in the United States and the United Arab Emirates, serving as Head of Pediatrics at two institutions. He published over five hundred articles in peer-reviewed journals and achieved the rank of Full Professor at Brown University. The Governor of South Carolina awarded him the Maternal and Child Award for services with the Medicaid Community in the State. After Lane returned home to Calgary, he started The Children’s Clinic to help children with daytime and night-time wetting. Over the last fifteen years, he helped several thousand children achieve dryness. He also served as Chair of the Academic, Long-range Planning, and Fundraising Committees and Vice Chairman of the Board of a private independent school. Over the last decade, Dr. Robson served on humanitarian medical missions to Haiti, Nicaragua and with Doctors Without Borders in Sierre Leone. Lane has published six books; three medical, two fiction, and one collection of short stories and poetry. Lane grew up in southwest Calgary and has solid Calgary-Currie roots, having lived in three different homes and attended elementary, junior, and senior high school in the constituency, and setting up his first pediatric practice was in Currie. He is a keen nature photographer and Roo, his labradoodle, is his hiking companion. His home has solar panels and he is proud to drive an electric car. Lane is incredibly proud of his two daughters and four grandchildren.
GPA	Evelyn Tanaka	Calgary-Hays	Evelyn Tanaka (she/her) is a second generation Canadian and environmental activist born and raised in Treaty 7 Mohkinstsis (Calgary, Alberta). As a child she wanted to be just like Jane Goodall because of her fascination with the biodiversity of the African savannah. Her love of nature translated into a BSc in Ecology (2003) and an MA in Anthropology/Primatology (2006) from the University of Calgary. She has also spent extended periods of time in five African countries – Madagascar, Kenya, Ghana, Burkina Faso, and Mali. Evelyn is a leader in the environmental sector and has secured over $17 million in federal funding to build Canada’s environmental workforce. She is currently managing projects that help unemployed natural resources workers find work in nature-based solutions and the green economy. She previously worked in the renewable energy sector with rural communities all over Alberta. A relative newcomer to the political scene, Evelyn was inspired by Elizabeth May to step up and represent the federal Greens in the 2019 election. Her campaign slogan in 2019 was “Planting Seeds in Shepard”. She gave native wildflower seed and organic sunflower seed packages to residents in her riding so that she could incorporate Green values into her campaign and “do politics differently”. She has represented the Green Party of Canada in the 2019 and 2021 federal elections. This is her first provincial campaign for the Green Party of Alberta in her home riding of Calgary Hays. Evelyn lives in McKenzie Towne in an eco-friendly solar-powered house with her husband, their two sons, and dog Molly. She enjoys knitting, reading, playing the guitar, board games with her kids, and having picnics in the park with friends
GPA	Jayden Baldonado	Calgary-East	Jayden Baldonado (he/him) is a passionate young activist born and raised on Treaty 7 Mohkinstsis (Calgary, Alberta). Since he was a child, Jayden has been concerned about the climate crisis and the environment, but struggled to find his voice in a world run by those otherwise out of touch. That was until then-16-year-old Swedish environmentalist Greta Thunberg burst onto the scene. Greta’s activism and the global movement she inspired led Jayden to become an agent for change. Although he was still too young to vote, Jayden became a member of the Alberta Greens, working with local candidates in the 2019 election. Jayden is currently studying Environmental Technology at the Southern Alberta Institute of Technology (SAIT) and serves on the SAIT Student Association’s Board of Directors. His role as a student leader has taught him the importance of open and honest two-way communication, and Jayden aspires to hold onto this principle as the provincial Green candidate in his home riding of Calgary-East. In order to represent the best interests of all Albertans, Jayden recognizes that we must take action to avert the climate crisis, eliminate poverty, and reduce socioeconomic inequity by working to dismantle the oppressive systems of colonialism, capitalism, and patriarchy. In his spare time, Jayden enjoys serving the community by volunteering with environmental non-profit organizations, such as CreekWatch and the Weaselhead Preservation Society. He is eager to spend time in nature whenever he gets the chance, and takes pleasure in hiking and camping. He is also an avid fan of the Calgary Flames.
GPA	Kenneth Drysdale	Calgary-Klein	Kenneth Drysdale is a born and raised Calgarian and small business owner. As an Entrepreneur he understands the struggles Albertans are experiencing and uses his business to provide a service that the client otherwise couldn’t afford. With Ken what you see is what you get. He has a big heart, and he wants to share that heart with everyone he meets. It was that heart and positive attitude that got him through a six month sabbatical across the United States. Now he wants to share that positive energy and big heart with Alberta.
GPA	Shaun Pulsifer	Calgary-Peigan	Shaun Pulsifer (he/him) immigrated to Canada from the United States in 2006 and lives in Calgary, Alberta with his partner Ken Drysdale. Shaun was raised in a military family and grew up across the United States and in Great Britain. Shaun is a Summa Cum Laude graduate from the Los Angeles Film School with a Bachelor of Science in Digital Filmmaking. He is now pursuing a master’s degree in Entertainment Business in the online program at Full Sail University. Shaun is the oldest of three siblings and is the second to pursue higher education. It hasn't been an easy journey, between working two jobs and the expense of attending even an online school. Shaun believes education should be accessible and affordable to all, and shouldn't require a student to go into debt or choose between paying their bills or attaining educational fulfillment. Shaun was motivated to run for the Alberta Greens by a vision to see his community thrive through its diversity, and with a commitment to pursing imagination and creativity by supporting the arts community. He believes protecting the environment and following the science of climate change is essential to seeing Alberta thrive on the global stage. He is an active congregation member at Friends Church in Calgary, a part of the Live Streaming team which makes services available online through YouTube. Shaun and his partner are in the early stages of looking into adoption to begin growing their family. In his spare time Shaun enjoys travelling through the mountains, where he feels one with the earth. Shaun also enjoys spending time with his friends and family.
GPA	Ahmed Hassan	Calgary-Falconridge	Ahmed Hassan is a first generation Canadian, activist, and entrepreneur who was born and raised in Calgary, Alberta. From a young age he took an interest in history, politics, and business, studying business management at Mount Royal from 2013 to 2017 before going on to own multiple small businesses - including an auto-detailing business, Shawarma restaurant, and selling men's natural beauty products. Currently Ahmed works providing security at AHS hospitals in Calgary, and has seen first hand how how budget cuts have affected staff and quality of care. He is a strong voice for human rights and is dedicated to fighting for a greener future as an advocate for solar polar.
GPA	Catriona Wright	Calgary-South East	Catriona Wright is a local Calgary resident. She has degrees in communications, education and currently works as a volunteer coordinator. She has run her own independent sales business for 14 years and continues its mandate of teaching people how to live toxin free. Catriona feels taking time to listen and understand each other is the key responsibility of elected representatives. She will work to bridge the widening gap between right and left by leading with empathy for all sides. Catriona is a steadfast advocate for equality, with a focus in ending both racism and ageism. She will work for the alleviation of poverty, and the move to a sustainable circular economy. She fully supports the Green Party’s willingness to work with other parties. She feels proportional representation is urgently needed to allow all people to have a voice; and supports electoral reform. She will advocate for a robust public education system and public healthcare.
